service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
336a770c-f9ba-454d-a263-28fd85d44cba,1,1,1,1,1,1,1,20151113,20161231
f37705ca-84ab-4216-90d3-17a96ac2d624,1,1,1,1,1,1,1,20151113,20161231
fa94e9bb-45a1-4362-a4d0-cc6b1279ff25,1,1,1,1,1,1,1,20151113,20161231
11cd9e67-e62a-47d6-a54f-261210cc0515,1,1,1,1,1,1,1,20151113,20161231
adda916f-f6eb-415b-ac5a-5b88b89fa501,1,1,1,1,1,1,1,20151113,20161231
37bd49ef-e8c3-4618-8c13-847a98b6708a,1,1,1,1,1,1,1,20151113,20161231
ef7fd3bb-a0df-4847-86b9-a407083c3e75,1,1,1,1,1,1,1,20151113,20161231
c7a85ebc-337b-433f-aa1e-172c05d423e3,1,1,1,1,1,1,1,20151113,20161231
0407561b-f573-4bf7-951f-91215ffc29f7,1,1,1,1,1,0,0,20151113,20161231
364fb320-f670-4cbb-92cb-add0f78ec82e,1,1,1,1,1,1,1,20151113,20161231
271666ca-941e-49c2-9f20-4d051b65c5e9,1,1,1,1,1,1,1,20151113,20161231
a6a5d8d4-8219-4083-a2ba-6b7065b522f2,1,1,1,1,1,1,1,20151113,20161231
bc39da33-e857-4995-a3e0-4d612d99b57e,1,1,1,1,1,1,1,20151113,20161231
3d85bd95-07ab-4aff-b921-a1a93a340206,1,1,1,1,1,1,1,20151113,20161231
3a8407ac-9e8d-4a54-a0b8-4c78da5438a3,1,1,1,1,1,1,1,20151113,20161231
d495bcd4-e2d0-48b0-ae99-93bc4e16ebc2,1,1,1,1,1,1,1,20151113,20161231
e7a0980c-2228-4efd-a4d7-ca41b7602fb2,1,1,1,1,1,1,1,20151113,20161231
080a69e9-b9f7-498d-af76-d6db7133d0bb,1,1,1,1,1,1,1,20151113,20161231
505487a6-2fdf-4da5-85c8-ce7c05870fd9,1,1,1,1,1,1,1,20151113,20161231
c4cb274e-2eb5-4ce0-984a-02c9903d3ddb,1,1,1,1,1,1,1,20151113,20161231
80db8a36-d6dd-4364-a28a-5ea6c0b2acf6,1,1,1,1,1,1,1,20151113,20161231
116e9c72-3aa2-442a-89f8-039a71b66862,1,1,1,1,1,1,1,20151113,20161231
7009dd2f-c848-4ff8-8386-7c8832f8b3df,1,1,1,1,1,1,1,20151113,20161231
cc3fcdad-646f-46bf-bd06-515dfa5fb43d,1,1,1,1,1,1,1,20151113,20161231
ba9be906-dc43-439e-8bc0-4d0fe5ad349e,1,1,1,1,1,1,1,20151113,20161231
ba86df6f-953f-4022-a920-e0aa2572db52,1,1,1,1,1,1,1,20151113,20161231
be250146-fd71-4bb0-aa8b-da3499707785,1,1,1,1,1,1,1,20151113,20161231
7d76e00a-0be4-4445-b2ec-10552f0f7c61,1,1,1,1,1,1,1,20151113,20161231
